Date,Price,Open,High,Low,Change %,SMA_7,SMA_30,SMA_100,SMA_200,Day,Week,Month,Year,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,Lag_1,Lag_3,Lag_7,Target_Price,Lag_14,Lag_30,SMA_20,STD_20,Upper_Band,Lower_Band,High-Low,High-Close,Low-Close,TR,ATR_14
2000-03-28,0.9603,0.967,0.9702,0.9604,-0.0064,0.9676,0.97265,0.9882370967741936,0.9882370967741936,Tuesday,13,3,2000,-0.0061999999999999,0.0,0.0061999999999999,0.0023285714285714,0.0023428571428571,0.9939024390243908,49.84709480122326,0.9676099752339532,0.9714991383206916,-0.0038891630867385,-0.0048071591267257,0.9665,0.9716,0.972,0.9514,0.9605,0.9812,0.9660900000000001,0.005421002043706608,0.9769320040874133,0.9552479959125869,0.00979999999999992,0.0036999999999999256,0.006099999999999994,0.00979999999999992,0.009757142857142829
2000-03-29,0.9514,0.9584,0.9604,0.9478,-0.0093,0.9645142857142858,0.9714766666666668,0.987652380952381,0.987652380952381,Wednesday,13,3,2000,-0.0089,0.0,0.0089,0.0019214285714285,0.0029785714285714,0.6450839328537186,39.21282798833825,0.965116132890268,0.9700103132598996,-0.0048941803696316,-0.0048245633753069,0.9603,0.9769,0.973,0.9609,0.9662,0.9866,0.96499,0.006054654581827053,0.9770993091636542,0.9528806908363459,0.012600000000000056,9.999999999998899e-05,0.012500000000000067,0.012600000000000056,0.00989999999999998
2000-03-30,0.9609,0.9512,0.9624,0.9505,0.01,0.9640857142857142,0.9705833333333334,0.987234375,0.987234375,Thursday,13,3,2000,0.0094999999999999,0.0094999999999999,0.0,0.0025999999999999,0.0027357142857142,0.9503916449086158,48.72824631860775,0.964467497060996,0.9693354752406478,-0.0048679781796517,-0.0048332463361758,0.9514,0.9665,0.9639,0.956,0.9628,0.9877,0.9648249999999999,0.006121908457161941,0.9770688169143238,0.9525811830856761,0.011900000000000022,0.01100000000000001,0.0009000000000000119,0.011900000000000022,0.010092857142857126
2000-03-31,0.956,0.9613,0.9631,0.9528,-0.0051,0.9633714285714288,0.9695766666666666,0.986753846153846,0.986753846153846,Friday,13,3,2000,-0.0049,0.0,0.0049,0.0024785714285714,0.0030857142857142,0.8032407407407394,44.5442875481386,0.9631648052054582,0.968347662259859,-0.0051828570544008,-0.0049031684798208,0.9609,0.9603,0.961,0.9548,0.9645,0.9862,0.9646399999999999,0.006337058922674608,0.9773141178453492,0.9519658821546507,0.010299999999999976,0.0021999999999999797,0.008099999999999996,0.010299999999999976,0.010007142857142841
2000-04-03,0.9548,0.9566,0.9605,0.9503,-0.0013,0.9609714285714286,0.9684966666666668,0.986269696969697,0.986269696969697,Monday,14,4,2000,-0.0011999999999999,0.0,0.0011999999999999,0.0022285714285714,0.0031714285714285,0.702702702702703,41.26984126984128,0.9618779120969264,0.9673441317220915,-0.0054662196251653,-0.0050157787088897,0.956,0.9514,0.9716,0.9602,0.968,0.9872,0.9644199999999999,0.006606503972360745,0.9776330079447214,0.9512069920552785,0.010199999999999987,0.0045000000000000595,0.005699999999999927,0.010199999999999987,0.010085714285714269
2000-04-04,0.9602,0.9545,0.9753,0.9514,0.0056999999999999,0.9585857142857144,0.9670433333333333,0.9858805970149254,0.9858805970149254,Tuesday,14,4,2000,0.0054,0.0054,0.0,0.0026142857142857,0.0031142857142857,0.839449541284406,45.635910224438966,0.9616197717743222,0.9668149367797144,-0.0051951650053922,-0.0050516559681902,0.9548,0.9609,0.9769,0.9621,0.9672,1.0038,0.9644499999999999,0.0065847910888794875,0.9776195821777589,0.9512804178222409,0.02389999999999992,0.020499999999999963,0.0033999999999999586,0.02389999999999992,0.01125714285714283
2000-04-05,0.9621,0.9604,0.9713,0.9592,0.002,0.9579571428571428,0.9656866666666666,0.9855308823529412,0.9855308823529412,Wednesday,14,4,2000,0.0018999999999999,0.0018999999999999,0.0,0.0024571428571428,0.0031142857142857,0.7889908256880711,44.10256410256403,0.961693653039811,0.9664656822034394,-0.0047720291636284,-0.0049957306072779,0.9602,0.956,0.9665,0.9577,0.9713,1.0028,0.9645299999999999,0.006543868162355656,0.9776177363247112,0.9514422636752886,0.0121,0.011099999999999999,0.0010000000000000009,0.0121,0.011449999999999976
2000-04-06,0.9577,0.9612,0.9646,0.9565,-0.0046,0.9575857142857144,0.9645133333333332,0.985127536231884,0.985127536231884,Thursday,14,4,2000,-0.0043999999999999,0.0,0.0043999999999999,0.0024071428571428,0.0034285714285714,0.7020833333333334,41.24847001223991,0.96107924487984,0.965816372410592,-0.0047371275307519,-0.0049440099919727,0.9621,0.9548,0.9603,0.9547,0.972,0.9929,0.964105,0.0067037675974019354,0.9775125351948039,0.9506974648051961,0.008099999999999996,0.0025000000000000577,0.005599999999999938,0.008099999999999996,0.011528571428571404
2000-04-07,0.9547,0.9582,0.9619,0.9538,-0.0031,0.9580571428571428,0.9638633333333334,0.9846928571428571,0.9846928571428571,Friday,14,4,2000,-0.003,0.0,0.003,0.0023357142857142,0.0036428571428571,0.6411764705882351,39.06810035842294,0.9600978225906338,0.9649929374172148,-0.004895114826581,-0.0049342309588943,0.9577,0.9602,0.9514,0.9624,0.973,0.9742,0.9637,0.007023794146364366,0.9777475882927288,0.9496524117072712,0.008099999999999996,0.0041999999999999815,0.0039000000000000146,0.008099999999999996,0.011642857142857121
2000-04-10,0.9624,0.955,0.9629,0.9534,0.0081,0.9582714285714288,0.9635533333333332,0.9843788732394366,0.9843788732394366,Monday,15,4,2000,0.0077,0.0077,0.0,0.0028857142857142,0.0029928571428571,0.9642004773269705,49.08869987849335,0.9604520037305364,0.9648008679789024,-0.0043488642483662,-0.0048171576167887,0.9547,0.9621,0.9609,0.9589,0.9639,0.9717,0.963595,0.007026901316031067,0.9776488026320621,0.9495411973679379,0.009499999999999953,0.008199999999999985,0.0012999999999999678,0.009499999999999953,0.011557142857142837
